"id","type","hostname","fqdn","probe","is_ipv4_only","ip_v4","as_v4","ip_v6","as_v6","city","country","company","nic_handle","geometry_type","latitude","longitude","tlsa_record","is_disabled","date_live","date_decommissioned","hardware_version","geom"
2045,"Anchor","us-nyc-as3320","us-nyc-as3320.anchors.atlas.ripe.net",6748,False,"217.243.20.114",3320,"2003:3c1:4002:d::2",3320,"New York","US","Deutsche Telekom AG","DTNI1-RIPE","Point","40.717729","-74.0083059","",True,"2020-03-04 10:20:00","2022-01-26 09:30:10",2,"0101000020E610000049377815888052C005323B8BDE5B4440"
2046,"Anchor","dk-taa-as51468","dk-taa-as51468.anchors.atlas.ripe.net",6714,False,"46.30.208.71",51468,"2a02:2350:1:1204::1",51468,"Tastrup","DK","One.com","OC1207-RIPE","Point","55.6621478","12.3001995","",False,"2020-01-09 10:20:01",NULL,99,"0101000020E6100000158DB5BFB3992840260F5542C1D44B40"
2057,"Anchor","ca-bha-as16276","ca-bha-as16276.anchors.atlas.ripe.net",6719,False,"54.39.185.31",16276,"2607:5300:201:2100::cf1",16276,"Beauharnois","CA","OVHcloud","","Point","45.30950244","-73.89436684","",False,"2020-01-17 12:20:01",NULL,99,"0101000020E6100000521B6A4E3D7952C086EAA4C69DA74640"
2061,"Anchor","de-wob-as9136","de-wob-as9136.anchors.atlas.ripe.net",6787,False,"62.176.249.60",9136,"2a01:581:1:8::4",9136,"Wolfsburg","DE","WOBCOM GmbH","IPSW-RIPE","Point","52.42821","10.79209","",False,"2020-05-12 08:20:00",NULL,2,"0101000020E61000002FFA0AD28C952540FBE8D495CF364A40"
2062,"Anchor","de-lml-as16276","de-lml-as16276.anchors.atlas.ripe.net",6715,False,"51.89.117.81",16276,"2001:41d0:701:1000::839",16276,"Limburg an der Lahn","DE","OVHcloud","","Point","50.3986005","8.0795783","",False,"2020-01-10 00:20:00",NULL,99,"0101000020E61000004BF1A77CBE282040AAD5575705334940"
2063,"Anchor","nl-wrv-as56611-client","nl-wrv-as56611-client.anchors.atlas.ripe.net",6721,False,"185.173.232.218",56611,"2a02:6c8:6::a",56611,"Wormerveer","NL","RIPE Anchors fake key","","Point","52.4950545","4.7971015","",True,"2020-01-17 22:20:01","2024-05-29 14:17:51.662536",99,"0101000020E6100000C45E28603B3013406B9E23F25D3F4A40"
2065,"Anchor","fr-rou-as16276-client","fr-rou-as16276-client.anchors.atlas.ripe.net",6823,False,"54.37.106.211",16276,"2001:41d0:2:7f59:1a:1a:1a:1a",16276,"Roubaix, France","FR","Akamai","","Point","50.6927049","3.177847","",False,"2020-07-14 12:20:00.33631",NULL,99,"0101000020E6100000A088450C3B6C0940B5A3DD8DAA584940"
2067,"Anchor","uk-blt-as25376","uk-blt-as25376.anchors.atlas.ripe.net",6716,False,"82.148.224.6",25376,"2a00:1b98:1::6",25376,"Bolton","GB","Netnorth Limited","NA4118-RIPE","Point","53.5790087","-2.4392645","",False,"2020-01-10 10:20:01",NULL,99,"0101000020E6100000B0592E1B9D8303C0BC4C03F51CCA4A40"
2068,"Anchor","mn-uln-as45204","mn-uln-as45204.anchors.atlas.ripe.net",6723,False,"180.149.98.146",45204,"2401:d600:0:110::2",45204,"ulaanbaatar","MN","Gemnet LLC","","Point","47.8863988","106.9057439","",False,"2020-01-21 04:20:01",NULL,2,"0101000020E61000004C4343B5F7B95A40599B108475F14740"
2070,"Anchor","ru-led-as199524","ru-led-as199524.anchors.atlas.ripe.net",6805,False,"92.223.65.18",199524,"2a03:90c0:154::12",199524,"Saint Petersburg","RU","G-Core Labs S.A.","NA6707-RIPE","Point","59.983881","30.3303049","",False,"2020-06-05 12:20:00.213888",NULL,99,"0101000020E61000006435A7DC8E543E40F01307D0EFFD4D40"
2074,"Anchor","ee-tll-as51349","ee-tll-as51349.anchors.atlas.ripe.net",6722,False,"195.43.87.140",51349,"2a00:c3a0:26:3::140",51349,"Tallinn","EE","Estonian Internet Foundation","EIFN1-RIPE","Point","59.4296382","24.684187","",False,"2020-01-20 12:20:01",NULL,99,"0101000020E61000002E5915E126AF3840600E7162FEB64D40"
2075,"Anchor","kz-ala-as48503","kz-ala-as48503.anchors.atlas.ripe.net",6730,False,"81.211.172.100",48503,"2a03:32c0:9:5::2",48503,"Almaty","KZ","Tele2 Kazakhstan","KN2887-RIPE","Point","43.2082184","76.8996132","",False,"2020-01-29 18:20:00",NULL,99,"0101000020E610000032433E4393395340753689E6A69A4540"
2079,"Anchor","es-leg-as766-client","es-leg-as766-client.anchors.atlas.ripe.net",6732,False,"163.117.253.5",766,"2001:720:410:3035:200:24ff:fed1:5dcc",766,"Leganes","ES","UC3M","","Point","40.3317753","-3.7669863","",False,"2020-02-02 10:20:00.3659",NULL,99,"0101000020E610000022D797B6C9220EC06F8FEF9C772A4440"
2080,"Anchor","ir-qum-as206635-client","ir-qum-as206635-client.anchors.atlas.ripe.net",6729,True,"185.176.59.23",206635,NULL,NULL,"Qom","IR","JikoPik","","Point","32.427908","53.688046","",True,"2020-01-29 10:20:00.167218","2022-03-21 09:00:54.405972",99,"0101000020E610000062122EE411D84A4030D978B0C5364040"
2082,"Anchor","in-sol-as139331","in-sol-as139331.anchors.atlas.ripe.net",6760,False,"103.141.78.18",139331,"2405:17c0:1:a::18",139331,"Solapur","IN","RIPE Anchors fake key","","Point","17.6584822","75.9081835","",True,"2020-03-26 14:20:00","2023-10-05 09:46:39",99,"0101000020E610000014D1AFAD1FFA524086FF194A92A83140"
2083,"Anchor","sg-sin-as16276","sg-sin-as16276.anchors.atlas.ripe.net",6726,False,"139.99.78.22",16276,"2402:1f00:8002:100::627",16276,"Singapore","SG","OVHcloud","","Point","1.323963","103.8916784","",False,"2020-01-25 18:20:01",NULL,99,"0101000020E61000002DA3474211F9594024D3A1D3F32EF53F"
2084,"Anchor","au-syd-as16276","au-syd-as16276.anchors.atlas.ripe.net",6727,False,"139.99.219.16",16276,"2402:1f00:8102:100::68b",16276,"Sydney","AU","OVHcloud","","Point","-33.9213915","151.1881473","",False,"2020-01-27 08:20:00",NULL,99,"0101000020E6100000958A7C4D05E66240FCA71B28F0F540C0"
2085,"Anchor","fr-ivs-as34019","fr-ivs-as34019.anchors.atlas.ripe.net",6728,False,"193.17.192.164",34019,"2001:67c:1740:9050::164",34019,"Ivry sur Seine","FR","Hivane","ATRH-RIPE","Point","48.8152394","2.4028701","",False,"2020-01-28 12:20:00",NULL,99,"0101000020E61000003D4A80F51339034091B4C0C359684840"
2088,"Anchor","us-nyc-as397143","us-nyc-as397143.anchors.atlas.ripe.net",6725,False,"23.157.160.140",397143,"2602:fe2e:1:12:ba:48ff:fe91:ec77",397143,"New York","US","Neptune Networks","","Point","40.7433831","-74.007967","",False,"2020-01-24 12:20:30",NULL,99,"0101000020E61000009F1C0588828052C016736B2D275F4440"
2091,"Anchor","us-wvj-as16276","us-wvj-as16276.anchors.atlas.ripe.net",6797,False,"147.135.78.61",16276,"2604:2dc0:101:100::c1",16276,"Warrenton, VA, USA","US","OVHcloud","","Point","38.7464553","-77.6737906","",False,"2020-05-25 00:20:00.362138",NULL,99,"0101000020E61000008BD69B621F6B53C083B6E6D88B5F4340"
2095,"Anchor","ru-mow-as8985","ru-mow-as8985.anchors.atlas.ripe.net",6733,False,"193.232.226.58",8985,"2001:6d0:ffd8:411::2",8985,"Moscow","RU","JSC ""MSK-IX""","RN1863-RIPE","Point","55.801298","37.477039","",False,"2020-02-03 14:20:00.593172",NULL,99,"0101000020E610000051F52B9D0FBD4240D42CD0EE90E64B40"
2097,"Anchor","fr-trx-as209097","fr-trx-as209097.anchors.atlas.ripe.net",6736,False,"5.182.144.161",209097,"2a0e:5c00:1::161",209097,"Trevoux","FR","NETSYST SAS","NA6270-RIPE","Point","45.9426239","4.733175","",False,"2020-02-07 16:20:00",NULL,2,"0101000020E6100000ADFA5C6DC5EE1240C87663E6A7F84640"
2100,"Anchor","dk-ton-as207934","dk-ton-as207934.anchors.atlas.ripe.net",6743,False,"185.156.96.242",207934,"2a03:300:3::1",207934,"Tønder","DK","WNB A/S","AR36701-RIPE","Point","54.951281","8.8697609","",True,"2020-02-17 12:20:00","2023-09-18 13:25:38.535247",1,"0101000020E6100000D6ADF94C51BD214031276893C3794B40"
2107,"Anchor","uk-lon-as58057","uk-lon-as58057.anchors.atlas.ripe.net",6738,False,"185.232.117.201",58057,"2a09:4c0:5700:b9e8::75c9",58057,"London","GB","Securebit AG","SBAC-RIPE","Point","51.5235911","-0.1007844","",False,"2020-02-13 18:20:00",NULL,99,"0101000020E6100000706DF2A501CDB9BF037D7D0805C34940"
2108,"Anchor","ir-thr-as44531","ir-thr-as44531.anchors.atlas.ripe.net",6786,True,"185.150.109.32",44531,NULL,NULL,"Tehran","IR","Rayanmehr Danesh Sanj","","Point","35.7556276","51.3987932","",False,"2020-05-11 08:20:00",NULL,99,"0101000020E610000000EFD3A70BB349403CFABA67B8E04140"
